Type,Resistive Attack,DiffAttack
noise,-0.03169352,-0.034003604
noise,-0.025354818,-0.027664904
noise,-0.019016117,-0.020171162
noise,-0.019016117,-0.021326203
noise,-0.019016117,-0.020171162
noise,-0.025354825,-0.027664911
noise,-0.050709635,-0.05301972
noise,-0.012677431,-0.013832474
noise,-0.031693522,-0.03515865
noise,-0.019016113,-0.020171156
noise,-0.050709642,-0.05417477
noise,-0.22185469,-0.25073075
noise,-0.48174158,-0.49213696
noise,-0.10775797,-0.11006807
noise,-0.18382242,-0.18613252
noise,-0.27890298,-0.2858332
noise,-0.19649982,-0.21613556
noise,-0.2662256,-0.2985668
noise,-0.14579019,-0.167736
noise,-0.15846762,-0.19889411
noise,-0.2725643,-0.318766
noise,-0.4246932,-0.4397088
noise,-0.006338835,-0.012114048
noise,-0.08874184,-0.10606748
noise,-0.12043536,-0.12852067
noise,-0.665564,-0.7394867
noise,-0.15212893,-0.1763848
noise,-0.14579016,-0.16658095
noise,-0.06972575,-0.07781106
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.017889142
noise,-0.006338716,-0.006338716
noise,-0.006338716,-0.021354273
noise,-0.006338716,-0.006338716
noise,-0.006338716,-0.006338716
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.006338716
noise,-0.012677431,-0.01383248
noise,-0.006338596,-0.007493645
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.006338596,-0.007493645
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.008648813
noise,-1.0268701,-1.0834672
noise,-0.12677413,-0.15449515
noise,-0.2281934,-0.2697749
noise,-0.62119305,-0.6835654
noise,-0.15212893,-0.20064074
noise,-0.2281934,-0.27901527
noise,-0.44370937,-0.4852909
noise,-0.2915804,-0.30428588
noise,-0.386661,-0.44441313
noise,-0.20917726,-0.45289123
noise,-0.21551597,-0.22360128
noise,-0.15846765,-0.18503368
noise,-0.17114502,-0.1907807
noise,-0.04437092,-0.047836065
noise,-0.025354832,-0.028819978
noise,-0.031693533,-0.036313705
noise,-0.012677409,-0.018452622
noise,-0.019016117,-0.025946373
noise,-0.012677431,-0.012677431
noise,-0.057048336,-0.057048336
noise,-0.012677416,-0.017297588
noise,-0.019016132,-0.024791345
noise,-0.019016117,-0.02017115
noise,-0.03169352,-0.03169352
noise,-0.025354818,-0.02997499
noise,-0.05704832,-0.14252138
noise,-0.038032293,-0.04034239
noise,-0.019016027,-0.022481173
noise,-0.012677431,-0.014987528
noise,-0.03169352,-0.035158634
noise,-0.62119305,-0.6477591
noise,-0.23453207,-0.2541678
noise,-0.038032174,-0.04034227
noise,-0.14579022,-0.15272045
noise,-0.25354815,-0.3170755
noise,-0.42469323,-0.5898644
noise,-0.1394515,-0.20066875
noise,-0.3993383,-0.42590427
noise,-1.6987728,-1.8085018
noise,-0.050709605,-0.051864684
noise,-0.31059653,-0.37989908
noise,-0.17748374,-0.18094885
noise,-0.22185466,-0.22416475
noise,-0.39299968,-0.41379043
noise,-0.25988686,-0.2691272
noise,-0.095080614,-0.10085583
noise,-0.31693524,-0.33888108
noise,-0.21551597,-0.26402777
noise,-0.050709605,-0.068035245
noise,-0.26622558,-0.29625666
noise,-0.06972575,-0.075500965
noise,-1.4071925,-2.2180324
noise,-0.019016117,-0.023636289
noise,-0.025354862,-0.03806019
noise,-0.019016147,-0.020171195
noise,-0.006338596,-0.012113571
noise,-0.019016027,-0.020171404
noise,-0.012677431,-0.01383248
noise,-0.12677407,-0.13254952
noise,-0.05704832,-0.06859875
noise,-0.14579022,-0.14694527
noise,-0.038032293,-0.04034236
noise,-0.06338704,-0.07031739
noise,-0.006338716,-0.007493764
noise,-0.012677431,-0.014987528
noise,-0.35496747,-0.44968098
noise,-0.836709,-0.98686457
noise,-0.93178964,-0.9583556
noise,-0.07606441,-0.21351448
noise,-0.4183545,-0.43337005
noise,-0.17748371,-0.20751482
noise,-0.51343507,-0.54924136
noise,-0.53879,-0.57806146
noise,-0.25354815,-0.2720288
noise,-0.006338835,-0.006338835
noise,-0.050709724,-0.076120675
noise,-0.20283854,-0.21092385
noise,-0.59583825,-0.6073887
noise,-0.22185463,-0.24726558
noise,-0.1521289,-0.16945454
noise,-0.26622558,-0.28586128
noise,-0.20283854,-0.2236293
noise,-0.4373706,-0.4881925
noise,-0.23453206,-0.25070265
noise,-0.03169352,-0.032848552
noise,-0.006338716,-0.010958888
noise,-0.006338716,-0.008648805
noise,-0.025354832,-0.026509874
noise,-0.006338716,-0.009803847
noise,-0.03169352,-0.03515865
noise,-0.006338716,-0.013268972
noise,-0.038032234,-0.04034232
noise,-0.019016117,-0.020171162
noise,-0.025354818,-0.027664904
noise,-0.03169352,-0.032848895
noise,-0.012677416,-0.013832461
noise,-0.019016117,-0.020171162
noise,-0.025354818,-0.026509862
noise,-0.025354818,-0.0750217
noise,-0.012677409,-0.014987495
noise,-0.050709635,-0.054174334
noise,-0.06338705,-0.09110798
noise,-0.012677416,-0.013832461
noise,-0.006338701,-0.007493746
noise,-0.006338716,-0.00749376
noise,-0.012677401,-0.013832442
noise,-0.006338716,-0.00749376
noise,-0.006338716,-0.008648802
noise,-0.019016117,-0.020171158
noise,-0.69091886,-0.7925626
noise,-0.04437089,-0.06285156
noise,-0.04437095,-0.048991144
noise,-0.012677401,-0.01383248
noise,-0.3296126,-0.33885294
noise,-0.095080554,-0.10085577
noise,-0.25354815,-0.26740864
noise,-0.7479671,-0.79416883
noise,-0.4120158,-0.4281864
noise,-0.025354803,-0.026509851
noise,-0.019016147,-0.020171195
noise,-1.1409669,-1.6411003
noise,-0.05704838,-0.05820343
noise,-0.019016117,-0.020171158
noise,-0.019016147,-0.022481274
noise,-0.006338716,-0.009803843
noise,-0.019016117,-0.021326203
noise,-0.012677401,-0.014987487
noise,-0.012677416,-0.01960767
noise,-0.006338708,-0.008648794
noise,-0.006338708,-0.007493751
noise,-0.006338704,-0.00864879
noise,-0.006338716,-0.008648801
noise,-0.012677416,-0.016142545
noise,-0.006338716,-0.012113929
noise,-0.012677409,-0.014987493
noise,-0.80501544,-0.83042634
noise,-0.1394515,-0.1556221
noise,-0.14579019,-0.14579019
noise,-0.006338716,-0.007493794
noise,-0.1140967,-0.118716896
noise,-0.019016147,-0.021326244
noise,-0.06972575,-0.07434592
noise,-0.107757986,-0.11006802
noise,-0.34229004,-0.35268545
noise,-0.20917726,-0.21610755
noise,-0.0887419,-0.09567219
noise,-0.063387156,-0.107278794
noise,-0.35496745,-0.36420777
noise,-0.025354803,-0.028819919
noise,-0.012677431,-0.014987513
noise,-0.006338716,-0.008648813
noise,-0.019016147,-0.020171195
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-0.012677431,-0.028848028
noise,-0.012677431,-0.08429007
noise,-0.006338716,-0.014424011
noise,-0.012677431,-0.045018625
noise,-0.012677431,-0.041553497
noise,-0.012677431,-0.01383248
noise,-0.006338716,-0.007493764
noise,-0.4120158,-0.47092295
noise,-0.5197737,-0.57752585
noise,-0.46906412,-0.54298687
noise,-0.24087083,-0.2501112
noise,-0.5768221,-0.6715356
noise,-0.24087079,-0.27321202
noise,-0.19016111,-0.21326196
noise,-0.19649984,-0.21613558
noise,-0.09508057,-0.10894109
noise,-0.5641447,-0.6207418
noise,-0.31059653,-0.3117516
noise,-0.06972575,-0.08012116
noise,-0.39933842,-0.40742373
noise,-0.48174155,-0.5510441
